Sno,Case ID,Case,Automation,Configurations,Created at,Created by,Folder,Issues,Priority,State,Status (latest),Tags,Updated by,Automation Script ID,Estimate,Expected,Forecast,JiraId,Precondition,Status date,Template,Test Steps,TPO Regression,Updated at,Description
22,117100,Verify SUPER_ADMIN role is assigned to each specified user (via UI/DB as available).,Will Automate,,2026-01-27T17:16:52.292Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Each specified user should have ROLE_SUPER_ADMIN (SUPER_ADMIN).,,FD-34889,"1. Carrier Portal is accessible.
2. User account exists and are active in Carrier Portal.
3. Sunteck_carriers database is accessible.",2026-01-28T17:11:27.527Z,Case (text),"1. Open Carrier Portal login page.
2. Enter credentials for each user listed in the ticket (one by one).
3. Click Login and observe.
4. Click on the drop down near the user profile and observe.",No,,
23,133716,Validate carrier's email when a carrier receives a rate confirmation and chooses to sign electronically.,Will Automate,,2026-02-26T15:38:34.911Z,Apurva Katyayni,Carrier,,High,Active,Passed,"carrierportal,loads",,,,Carrier dispatch email field should have the carrier’s email address pre-populated from BTMS - Carrier Profile contact information,,FD-40384,"1. User has received a rate confirmation via email.
2. User sign and accept the tender electronically",2026-02-26T15:45:26.041Z,Case (text),"1. User received a rate confirmation via email for a load.
2. Click on the hyperlink given in email.
3. user selects to sign and accept the tender electronically.
4. IN carrier portal, check carrier’s email address",No,,
24,133717,Validate Carrier Dispatch Email field on the electronic tender cannot be edited by the recipient.,Will Automate,,2026-02-26T15:38:34.934Z,Apurva Katyayni,Carrier,,High,Active,Passed,"carrierportal,loads",,,,Carrier Dispatch Email field on the electronic tender should not be edited by the recipient.,,FD-40384,"1. User has received a rate confirmation via email.
2. User sign and accept the tender electronically",2026-02-26T15:45:42.770Z,Case (text),"1. User received a rate confirmation via email for a load.
2. Click on the hyperlink given in email.
3. user selects to sign and accept the tender electronically.
4. IN carrier portal, check carrier’s email address.
5. Try to edit carrier dispatch email field.",No,,
25,133718,Validate carrier dispatch email when an agent fill Carrier Dispatch Email field on the Load Form - Carrier Tab,Will Automate,,2026-02-26T15:38:34.955Z,Apurva Katyayni,Carrier,,Smoke,Active,Passed,"carrierportal,loads",,,,"1. The tender should pre-populate this same email address.
2. The field remains locked on the electronic tender.",,FD-40384,"1. An agent manually adds an email address on: Load Form → Carrier Tab → Carrier Dispatch Email field.
2. Load status moved to ""Booked"".",2026-03-03T13:17:04.653Z,Case (text),"1. User login to BTMS.
2. While creating load, manually add an email address on: Load Form → Carrier Tab → Carrier Dispatch Email field.
3. Change load status to ""Booked"".",No,,
26,133720,Validate carrier dispatch email when an agent adds an email address to the Emailed Documents for a Load page,Will Automate,,2026-02-26T15:38:34.997Z,Apurva Katyayni,Carrier,,High,Active,Passed,"carrierportal,loads",,,,The carrier dispatch email field on the Load Form - Carrier Tab should have the email that was added by the agent,,FD-40384,"1. An agent has added a new email address to the Emailed Documents for Load modal.
2. User sign and accept the tender electronically",2026-03-03T13:18:23.845Z,Case (text),"1. In BTMS, go to Load &gt; Carrier tab and click on Accept load.
2. Agent added a new email address to the Emailed Documents for Load modal.
3. User receives the rate confirmation via email.
4. User sign and accept the tender electronically.
4. Check the carrier dispatch mail in load form",No,,
27,154732,Verify successful signup when reCAPTCHA is completed,Will Automate,,2026-04-06T12:36:02.745Z,Pragya Yadav,Carrier,,High,Active,Passed,carrierportal,,,,"Form is submitted successfully. 
User sees normal success behavior (e.g., redirected or success message as per existing flow). 
No captcha-related error is shown.",,FD-30697,User is on the Carrier Portal signup page,2026-04-06T15:58:30.520Z,Case (text),"1.Fill all required signup form fields with valid data. 
2.Complete the reCAPTCHA (click checkbox and wait until it is verified). 
3.Click the Sign Up button.",No,,
28,154733,Verify signup is blocked when reCAPTCHA is not completed,Will Automate,,2026-04-06T12:36:02.761Z,Pragya Yadav,Carrier,,High,Active,Passed,carrierportal,,,,"Form does not submit. 
User stays on the same page. 
An error message is displayed. 
Error message text is exactly: “Captcha is required”. 
Error message is clearly visible and easy to read.",,FD-30697,User is on the Carrier Portal signup page,2026-04-06T15:59:34.673Z,Case (text),"1.Fill all required signup form fields with valid data. 
2.Do not interact with the reCAPTCHA checkbox (do not click). 
3.Click the Sign Up button.",No,,
29,196006,"Verify ""My Loads""  section accessible for ""WE MOVE CARGO LLC"" carrier.",Will Automate,,2026-04-23T16:30:28.870Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,carrierportal,,,,Loads should be displayed successfully without any error message.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.",2026-05-07T16:20:38.958Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Loads and search for any load in Simple Load Search.",No,,
30,196007,"Verify ""My Payables"" section accessible for ""WE MOVE CARGO LLC"" carrier.",Will Automate,,2026-04-23T16:30:28.879Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Payable data should load successfully without any error.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.",2026-05-07T16:21:07.991Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Payables and search for any load in Simple Payable Search.",No,,
31,196008,"Verify Edit Company Profile page loads for  ""WE MOVE CARGO LLC"" carrier.",Will Automate,,2026-04-23T16:30:28.888Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Edit Company Profile page should load successfully without Page Not Found error.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.",2026-05-07T16:25:20.126Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on Edit Company Profile from user drop-down and observe.",No,,
32,196009,"Verify ""My Loads"" section  accessible for ""A K TRANSPORTATION INC"" carrier.",Will Automate,,2026-04-23T16:30:28.897Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,carrierportal,,,,Loads should be displayed successfully without any error message.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.",2026-05-07T16:26:09.404Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Loads and search for any load in Simple Load Search.",No,,
33,196010,"Verify ""My Payables"" section  accessible for ""A K TRANSPORTATION INC"" carrier.",Will Automate,,2026-04-23T16:30:28.907Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Payable data should load successfully without any error.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.",2026-05-07T16:26:25.514Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Payables and search for any load in Simple Payable Search.",No,,
34,196011,"Verify Edit Company Profile page loads for""A K TRANSPORTATION INC"" carrier.",Will Automate,,2026-04-23T16:30:28.921Z,Ashima Miglani,Carrier,,High,Active,Passed,carrierportal,,,,Edit Company Profile page should load successfully without Page Not Found error.,,FD-42184,"1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.",2026-05-07T16:26:40.157Z,Case (text),"1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on Edit Company Profile from user drop-down and observe.",No,,
35,196314,Exclude ineligible intrastate carrier for user without CARRIER_RELATIONS role when states do not match,Will Automate,,2026-05-08T14:34:00.761Z,Apurva Katyayni,Carrier,,Smoke,Active,Passed,carriersearch,,,,Intrastate carrier silently excluded; Other eligible carriers shown,,FD-38005,User without CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state != ship_state and != cons_state,2026-05-08T15:19:44.210Z,Case (text),Login; Create load with different ship/cons states; Choose intrastate carrier with non-matching state; Search carrier,No,,
36,196315,Include eligible intrastate carrier for user without CARRIER_RELATIONS role when all states match,Will Automate,,2026-05-08T14:34:00.778Z,Apurva Katyayni,Carrier,,High,Active,Passed,carriersearch,,,,Intrastate carrier included; No warning message,,FD-38005,User without CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state = ship_state = cons_state,2026-05-08T15:19:52.615Z,Case (text),Login; Create load with same ship/cons state; Choose intrastate carrier with matching state; Search carrier,No,,
37,196316,Include interstate carrier for user without CARRIER_RELATIONS role,Will Automate,,2026-05-08T14:34:00.794Z,Apurva Katyayni,Carrier,,High,Active,Passed,carriersearch,,,,Carrier included; No intrastate filtering applied,,FD-38005,User without CARRIER_RELATIONS; Intrastate carrier = NO,2026-05-08T15:20:01.299Z,Case (text),Login; Create load; Choose interstate carrier; Search carrier,No,,
38,196317,User with CARRIER_RELATIONS role can see intrastate carrier when states match,Will Automate,,2026-05-08T14:34:00.810Z,Apurva Katyayni,Carrier,,High,Active,Passed,carriersearch,,,,Carrier visible regardless of intrastate rules,,FD-38005,User with CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state = ship_state = cons_state,2026-05-08T15:20:11.593Z,Case (text),Login with role; Create load; Choose intrastate carrier; Search carrier,No,,
39,196320,No intrastate carriers excluded for CARRIER_RELATIONS user during broad search,Will Automate,,2026-05-08T14:34:00.856Z,Apurva Katyayni,Carrier,,High,Active,Passed,carriersearch,,,,No carriers excluded by intrastate rules,,FD-38005,User with CARRIER_RELATIONS; Load has multiple intrastate and interstate carriers,2026-05-08T15:20:44.924Z,Case (text),Login; Create load; Perform broad Choose Carrier search,No,,
40,262131,Intra Canada ID field appears immediately when Intra Canada is set to YES,Will Automate,,2026-05-22T08:09:52.610Z,Ashima Miglani,Carrier,,High,Active,Passed,"carriers,intracanada",Ashima Miglani,,,Intra Canada ID text field appears immediately without page reload.,,FD-44122,User is editing a Carrier Profile on the General tab. Intra Canada is currently set to NO.,2026-05-25T07:24:25.607Z,Case (text),"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field
4. Change Intra Canada to YES
5. Observe Intra Canada ID field",No,2026-05-22T08:13:31.127Z,
41,262132,Intra Canada ID field hides when Intra Canada is toggled back to NO,Will Automate,,2026-05-22T08:09:52.621Z,Ashima Miglani,Carrier,,High,Active,Passed,"carriers,intracanada",Ashima Miglani,,,Intra Canada ID field disappears. Any entered value is cleared or not submitted on save.,,FD-44122,User is editing a Carrier Profile. Intra Canada is set to YES and ID field is visible.,2026-05-25T07:25:03.798Z,Case (text),"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field. 
4. Set Intra Canada to YES (ID field appears)
5. Enter a value in Intra Canada ID
6. Toggle Intra Canada back to NO
7. Observe Intra Canada ID field",No,2026-05-22T08:13:31.127Z,
42,262133,"""MANUAL INTRA CANADA CARRIER"" banner is visible on ALL tabs when Intra Canada = YES",Will Automate,,2026-05-22T08:09:52.633Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,"carriers,intracanada",Ashima Miglani,,,"""MANUAL INTRA CANADA CARRIER"" banner is displayed at the top of the profile on every tab, not just General tab.",,FD-44122,A carrier exists with Intra Canada = YES saved on its profile.,2026-05-25T07:28:34.362Z,Case (text),"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field. 
4. Set the Intra Canada = YES
5. Verify banner on General tab
6. Navigate to each additional tab (Contacts, Documents, etc.)
7. Observe banner on each tab",No,2026-05-22T08:13:31.127Z,
43,262136,Save is blocked when both Intra Canada = YES and Intrastate = YES,Will Automate,,2026-05-22T08:09:52.667Z,Ashima Miglani,Carrier,,Smoke,Active,Passed,"carriers,intracanada",Ashima Miglani,,,"Save is blocked. Error message displayed: ""A carrier cannot be designated as both Intra Canada and Intrastate. Please update one selection to NO before saving.""",,FD-44122,User has permission to edit Carrier Profile. A carrier profile is open in Edit mode.,2026-05-25T07:32:44.029Z,Case (text),"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode. 
3. Set Intrastate = YES
4. Set Intra Canada = YES
5. Enter a valid Intra Canada ID
6. Attempt to save the Carrier Profile",No,2026-05-22T08:13:31.127Z,
