Case ID,Automation Script ID,JiraId,Case,Precondition,Test Steps,Expected,Description,Tags
61473,,FD-34808,Verify the functionality where values are selected in all the mentioned filters and results are appearing as expected.,"1.Carrier Search page is loaded.2.Carrier data includes contact department value, contact names, contact email and insurance agent name.","1.Login into the BTMS.2.Navigate to the Carrier Search Page.3.Observe the filter section layout.4. Click on the Contact Department dropdown and select a value.5.Enter a Contact Name.6. Enter a Contact email.7.Enter an insurance agent name (e.g., 'Jane Smith').8.Click Search and review the results.9.Check visible columns and verify the following columns should be hidden by default:- Contact Department- Contact Name- Contact Email- Insurance Agent Name10.Unhide the columns from the filtered results page and observe.","All the newly added columns should be visible after unhiding.Correct data should be displayed in each column, consistent with filter criteria.",,carriersearch
82782,,FD-37670,Verify fee calculation in Carrier Checks Queue and load tab.,Carrier has Quick Pay with custom Fee Percent.,"1. Login into the BTMS.
2. Navigate to the Carriers tab.
3. Click on the Search option and type any carrier name.
4. Navigate to Carrier Page and click on the Edit button.
5. Click on the ""Payment Terms"" dropdown and select ""Quick Pay"" option. 6.Observe the Fee Percent field and override checkbox.
7.Check the checkbox and observe.
8. Try entering input values as mentioned in the Preconditions in the Fee Percent field.
9.Enter the value and click on the ""Save"" button and observe.
10. Go to the Loads and create a new load with the same carrier and observe the carrier payment in the Load tab.(Add Manual ACH).
11. Navigate to the Finance Page and click on the Carrier Check Queue link and observe.","Fee should match configured percentage (e.g., 1.5% of $1000 = $15)",,"carriersearch,loadsearch"
82784,,FD-37670,Verify Quick Pay Fee % calculation across all invoicing flows.,Carrier has Quick Pay selected with a custom Fee Percent configured.,"1. Login into the BTMS.
2. Navigate to the Carriers tab.
3. Click on the Search option and type any carrier name.
4. Navigate to Carrier Page and click on the Edit button.
5. Click on the ""Payment Terms"" dropdown and select ""Quick Pay"" option. 6.Observe the Fee Percent field and override checkbox.
7.Check the checkbox and observe.
8. Try entering input values as mentioned in the Preconditions in the Fee Percent field.
9.Enter the value and click on the ""Save"" button and observe.
10. Go to the Loads and create a new load with the same carrier and observe the carrier payment in the Load tab.
11. Process invoicing using each flow:
Manual
Doc Uploader
EDI 210
Transflo
12. Navigate to the Carrier Checks section on the load tab and Carrier Checks Queue report in Finance.
13. Observe the fee applied for Quick Pay.","Fee should match the configured percentage for Quick Pay across all invoicing flows (e.g., 4.25% of $1000 = $42.50).",,"carriersearch,loadsearch"
97843,,FD-37580,Verify Email sorting functionality.,Multiple carriers with different emails present.,"1. Login into the BTMS.
2. Navigate to the Carrier Tab.
3. Select Carrier Search Page.
4. Enter any values and click on the Search button and observe.
5. Observe the Carrier Search Report.",Sorting should work correctly with accurate email values.,,carriersearch
97860,,FD-40035,Verify that when highway_rules_assessment is Fail -> carrier status updated to ON HOLD.,"1.User is logged into BTMS.
2. CMD record exists for target carrier with highway_rules_assessment=Fail.
3. Autocorrect rule configured to set status ON HOLD on Fail.","1.Login to BTMS
2.Navigate to carrier &gt; Carrier Search
3.Apply the required filters and click on Search.
4.Open the carrier.
5.Verify that when  Fail -&gt; carrier status updated to ON HOLD.",Rules assessment fails; carrier status transitions to ON HOLD. Logs/audit show highway_rules_assessment=Fail .,,carriersearch
97861,,FD-40035,Verify that when  highway_rules_assessment is Pass -> rules assessment passes and Autocorrect continues,"1. User is logged into BTMS.
2. CMD record exists with highway_rules_assessment=Pass.
3. Other Autocorrect validations configured.","1.Login to BTMS
2.Navigate to carrier &gt; Carrier Search
3.Apply the required filters and click on Search.
4.Open the carrier.
5. Trigger Autocorrect.
6. Confirm rules assessment result is Pass.
7. Verify Autocorrect executes subsequent validations to determine final status.","Rules assessment passes; carrier is not put ON HOLD due to this rule, and Autocorrect proceeds with remaining checks.",,carriersearch
117099,,FD-34889,Verify SUPER_ADMIN users can log in successfully to Carrier Portal.,"1. Carrier Portal is accessible.
2. User account exists and are active in Carrier Portal.","1. Open Carrier Portal login page.
2. Enter credentials for each user listed in the ticket (one by one).
3. Click Login and observe.",Login is successful for each specified user and user lands on Carrier Portal home/dashboard without errors.,,carrierportal
117100,,FD-34889,Verify SUPER_ADMIN role is assigned to each specified user (via UI/DB as available).,"1. Carrier Portal is accessible.
2. User account exists and are active in Carrier Portal.
3. Sunteck_carriers database is accessible.","1. Open Carrier Portal login page.
2. Enter credentials for each user listed in the ticket (one by one).
3. Click Login and observe.
4. Click on the drop down near the user profile and observe.",Each specified user should have ROLE_SUPER_ADMIN (SUPER_ADMIN).,,carrierportal
133716,,FD-40384,Validate carrier's email when a carrier receives a rate confirmation and chooses to sign electronically.,"1. User has received a rate confirmation via email.
2. User sign and accept the tender electronically","1. User received a rate confirmation via email for a load.
2. Click on the hyperlink given in email.
3. user selects to sign and accept the tender electronically.
4. IN carrier portal, check carrier’s email address",Carrier dispatch email field should have the carrier’s email address pre-populated from BTMS - Carrier Profile contact information,,"carrierportal,loads"
133717,,FD-40384,Validate Carrier Dispatch Email field on the electronic tender cannot be edited by the recipient.,"1. User has received a rate confirmation via email.
2. User sign and accept the tender electronically","1. User received a rate confirmation via email for a load.
2. Click on the hyperlink given in email.
3. user selects to sign and accept the tender electronically.
4. IN carrier portal, check carrier’s email address.
5. Try to edit carrier dispatch email field.",Carrier Dispatch Email field on the electronic tender should not be edited by the recipient.,,"carrierportal,loads"
133718,,FD-40384,Validate carrier dispatch email when an agent fill Carrier Dispatch Email field on the Load Form - Carrier Tab,"1. An agent manually adds an email address on: Load Form → Carrier Tab → Carrier Dispatch Email field.
2. Load status moved to ""Booked"".","1. User login to BTMS.
2. While creating load, manually add an email address on: Load Form → Carrier Tab → Carrier Dispatch Email field.
3. Change load status to ""Booked"".","1. The tender should pre-populate this same email address.
2. The field remains locked on the electronic tender.",,"carrierportal,loads"
133720,,FD-40384,Validate carrier dispatch email when an agent adds an email address to the Emailed Documents for a Load page,"1. An agent has added a new email address to the Emailed Documents for Load modal.
2. User sign and accept the tender electronically","1. In BTMS, go to Load &gt; Carrier tab and click on Accept load.
2. Agent added a new email address to the Emailed Documents for Load modal.
3. User receives the rate confirmation via email.
4. User sign and accept the tender electronically.
4. Check the carrier dispatch mail in load form",The carrier dispatch email field on the Load Form - Carrier Tab should have the email that was added by the agent,,"carrierportal,loads"
154732,,FD-30697,Verify successful signup when reCAPTCHA is completed,User is on the Carrier Portal signup page,"1.Fill all required signup form fields with valid data. 
2.Complete the reCAPTCHA (click checkbox and wait until it is verified). 
3.Click the Sign Up button.","Form is submitted successfully. 
User sees normal success behavior (e.g., redirected or success message as per existing flow). 
No captcha-related error is shown.",,carrierportal
154733,,FD-30697,Verify signup is blocked when reCAPTCHA is not completed,User is on the Carrier Portal signup page,"1.Fill all required signup form fields with valid data. 
2.Do not interact with the reCAPTCHA checkbox (do not click). 
3.Click the Sign Up button.","Form does not submit. 
User stays on the same page. 
An error message is displayed. 
Error message text is exactly: “Captcha is required”. 
Error message is clearly visible and easy to read.",,carrierportal
196006,,FD-42184,"Verify ""My Loads""  section accessible for ""WE MOVE CARGO LLC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Loads and search for any load in Simple Load Search.",Loads should be displayed successfully without any error message.,,carrierportal
196007,,FD-42184,"Verify ""My Payables"" section accessible for ""WE MOVE CARGO LLC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Payables and search for any load in Simple Payable Search.",Payable data should load successfully without any error.,,carrierportal
196008,,FD-42184,"Verify Edit Company Profile page loads for  ""WE MOVE CARGO LLC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  WE MOVE CARGO LLC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for WE MOVE CARGO LLC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on Edit Company Profile from user drop-down and observe.",Edit Company Profile page should load successfully without Page Not Found error.,,carrierportal
196009,,FD-42184,"Verify ""My Loads"" section  accessible for ""A K TRANSPORTATION INC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Loads and search for any load in Simple Load Search.",Loads should be displayed successfully without any error message.,,carrierportal
196010,,FD-42184,"Verify ""My Payables"" section  accessible for ""A K TRANSPORTATION INC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on My Payables and search for any load in Simple Payable Search.",Payable data should load successfully without any error.,,carrierportal
196011,,FD-42184,"Verify Edit Company Profile page loads for""A K TRANSPORTATION INC"" carrier.","1. Carrier user exists and is active.
2. User is mapped to the correct carrier.
3. User should have the SUPER_ADMIN role.
4. Switch user to  A K TRANSPORTATION INC user.","1. Login into  the Carrier Portal with Super admin user.
2. Select “Switch User” from username drop-down.
3. Search for A K TRANSPORTATION INC user email shown above in user table screenshot.
4. Click on the email.
5. Once switched to that user observe.
6.  Click on Edit Company Profile from user drop-down and observe.",Edit Company Profile page should load successfully without Page Not Found error.,,carrierportal
196314,,FD-38005,Exclude ineligible intrastate carrier for user without CARRIER_RELATIONS role when states do not match,User without CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state != ship_state and != cons_state,Login; Create load with different ship/cons states; Choose intrastate carrier with non-matching state; Search carrier,Intrastate carrier silently excluded; Other eligible carriers shown,,carriersearch
196315,,FD-38005,Include eligible intrastate carrier for user without CARRIER_RELATIONS role when all states match,User without CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state = ship_state = cons_state,Login; Create load with same ship/cons state; Choose intrastate carrier with matching state; Search carrier,Intrastate carrier included; No warning message,,carriersearch
196316,,FD-38005,Include interstate carrier for user without CARRIER_RELATIONS role,User without CARRIER_RELATIONS; Intrastate carrier = NO,Login; Create load; Choose interstate carrier; Search carrier,Carrier included; No intrastate filtering applied,,carriersearch
196317,,FD-38005,User with CARRIER_RELATIONS role can see intrastate carrier when states match,User with CARRIER_RELATIONS; Intrastate carrier = YES; carrier.state = ship_state = cons_state,Login with role; Create load; Choose intrastate carrier; Search carrier,Carrier visible regardless of intrastate rules,,carriersearch
196320,,FD-38005,No intrastate carriers excluded for CARRIER_RELATIONS user during broad search,User with CARRIER_RELATIONS; Load has multiple intrastate and interstate carriers,Login; Create load; Perform broad Choose Carrier search,No carriers excluded by intrastate rules,,carriersearch
262131,,FD-44122,Intra Canada ID field appears immediately when Intra Canada is set to YES,User is editing a Carrier Profile on the General tab. Intra Canada is currently set to NO.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field
4. Change Intra Canada to YES
5. Observe Intra Canada ID field",Intra Canada ID text field appears immediately without page reload.,,"carriers,intracanada"
262132,,FD-44122,Intra Canada ID field hides when Intra Canada is toggled back to NO,User is editing a Carrier Profile. Intra Canada is set to YES and ID field is visible.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field. 
4. Set Intra Canada to YES (ID field appears)
5. Enter a value in Intra Canada ID
6. Toggle Intra Canada back to NO
7. Observe Intra Canada ID field",Intra Canada ID field disappears. Any entered value is cleared or not submitted on save.,,"carriers,intracanada"
262133,,FD-44122,"""MANUAL INTRA CANADA CARRIER"" banner is visible on ALL tabs when Intra Canada = YES",A carrier exists with Intra Canada = YES saved on its profile.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.
3. Locate the Intra Canada Yes/No field. 
4. Set the Intra Canada = YES
5. Verify banner on General tab
6. Navigate to each additional tab (Contacts, Documents, etc.)
7. Observe banner on each tab","""MANUAL INTRA CANADA CARRIER"" banner is displayed at the top of the profile on every tab, not just General tab.",,"carriers,intracanada"
262136,,FD-44122,Save is blocked when both Intra Canada = YES and Intrastate = YES,User has permission to edit Carrier Profile. A carrier profile is open in Edit mode.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode. 
3. Set Intrastate = YES
4. Set Intra Canada = YES
5. Enter a valid Intra Canada ID
6. Attempt to save the Carrier Profile","Save is blocked. Error message displayed: ""A carrier cannot be designated as both Intra Canada and Intrastate. Please update one selection to NO before saving.""",,"carriers,intracanada"
262137,,FD-44122,Save is blocked when Intra Canada = YES but Intra Canada ID is blank,User has permission to edit Carrier Profile. A carrier profile is open in Edit mode.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.  
3. Set Intra Canada = YES
4. Leave Intra Canada ID field blank
5. Attempt to save the Carrier Profile","Save is blocked. Error message displayed: ""Please enter a Intra Canada ID"" (verify exact copy with PM — may need to read ""an Intra Canada ID"").",,"carriers,intracanada"
262138,,FD-44122,"Save succeeds with Intra Canada = YES, valid ID entered, and Intrastate = NO",User has permission to edit Carrier Profile. A carrier profile is open in Edit mode.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. Open any Carrier Profile in Edit mode.   
3.Set Intra Canada = YES
4. Enter a valid value in Intra Canada ID (e.g., ""IC-12345"")
5.Ensure Intrastate = NO
6. Save the Carrier Profile
7. Reload the profile",Save succeeds. Intra Canada = YES and the entered Intra Canada ID value are both retained correctly on reload.,,"carriers,intracanada"
262142,,FD-44122,Intra Canada = YES carrier is EXEMPT from pick/drop state change validation,A carrier exists with Intra Canada = YES. User does NOT have CARRIER_RELATIONS role. Carrier is assigned to a load.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2.Open any Carrier Profile in Edit mode.   
3. User is without CARRIER_RELATIONS role.
4. Open a load assigned to an Intra Canada = YES carrier
5. Update the pick or drop state to a different state
6. Attempt to save the load",Save succeeds. The FD-37616 pick/drop state-change block does NOT trigger for this carrier.,,"carriers,intracanada"
262143,,FD-44122,US Intrastate carrier (Intra Canada = NO) is still blocked on pick/drop state mismatch — regression,A carrier exists with Intrastate = YES and Intra Canada = NO. User does NOT have CARRIER_RELATIONS role. Carrier is assigned to a load.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2.Open any Carrier Profile in Edit mode.   
3. User is without CARRIER_RELATIONS role.
4. Open a load assigned to the US Intrastate carrier
5. Update pick or drop state to a mismatched state
6. Attempt to save the load",Save is blocked per FD-37616 logic. Existing US Intrastate state validation is NOT broken by this change.,,"carriers,intracanada"
262144,,FD-44122,Intra Canada = YES carrier is NOT filtered out of Choose Carrier search results,A carrier exists with Intra Canada = YES. User does NOT have CARRIER_RELATIONS role.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2.Open any Carrier Profile in Edit mode.   
3. User is without CARRIER_RELATIONS role.
4. Open a load
5. Perform a Choose Carrier search
6. Search for or verify the Intra Canada = YES carrier in results",The Intra Canada = YES carrier appears in Choose Carrier search results and is NOT excluded.,,"carriers,intracanada"
262148,,FD-44122,CARRIER_RELATIONS role users retain existing override behavior with Intra Canada carriers,A carrier exists with Intra Canada = YES. User HAS the CARRIER_RELATIONS role.,"1.Login into the BTMS with agent having carrier profile edit permission. 
2. User with CARRIER_RELATIONS role.
3. Assign the Intra Canada = YES carrier to a load
4. Test FD-37616 pick/drop state change
5. Test FD-38005 Choose Carrier search",CARRIER_RELATIONS users retain their existing override permissions. Intra Canada flag does not alter role-based behavior.,,"carriers,intracanada"
262155,FD-44122,,25.	MC# is not required if Intra Canada is set to YES,,"1.Login into the BTMS and open a Carrier Profile in Edit mode2. Set Intra Canada = YES3. Enter a specific Intra Canada ID value (e.g., ""IC-98765"")4.Remove the MC# and save the profile5. Close and reopen the profile",Save should be successful  leaving Intra-canada blank when Intra-canada field is set to YES.,,"carriers,intracanada"
286837,,FD-43693,"Pop-up triggers on email entry for TL load with Office's ""Highway Verification"" setting is ""Yes""",#NAME?,"1. Login into the BTMS.
2. Navigate to any existing Truck Load or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter a valid email in Carrier Dispatch Email field
5.Tab out of the field and observe.",Highway verification pop-up appears displaying the email's verification status,,highway
286838,,FD-43693,"Pop-up triggers on email entry for Partial TL load with ""Highway Verification"" setting is ""Yes""",#NAME?,"1. Login into the BTMS.
2. Navigate to any existing Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter a valid email in Carrier Dispatch Email field
5.Tab out of the field and observe.",Highway verification pop-up appears displaying the email's verification status,,highway
286839,,FD-43693,Pop-up triggers when user attempts to save with email entered,"Office Highway Verification = YES
- Load Method = TL / Partial TL","1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter an email in Carrier Dispatch Email field
5.Click save without tabbing out.",Highway verification pop-up appears before save completes,,highway
286840,,FD-43693,Email is auto-removed for 'Verification Required' status,#NAME?,"1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter Verification Required email in Carrier Dispatch Email field
5. Tab out and observe pop-up
6. Click OK",#NAME?,,highway
286841,,FD-43693,Email is auto-removed for 'Bad Actor' status,#NAME?,"1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter Bad Actor flagged email in Carrier Dispatch Email field
5. Tab out and observe pop-up
6. Click OK",#NAME?,,highway
286842,,FD-43693,Verify pop-up message content for Verification Required,#NAME?,"1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter Verification Required email in Carrier Dispatch Email field
5. Tab out and observe pop-up
6. Review pop-up content carefully","Pop-up displays exactly:
- Highway Status: Verification Required
- Highway Response: 'Email and domain are not yet known or verified in Highway. The carrier must complete Highway onboarding before this email can be used.'
- Email field shows the entered email",,highway
286843,,FD-43693,Verify pop-up message content for Bad Actor,#NAME?,"1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter Bad Actor flagged email in Carrier Dispatch Email field
5. Tab out and observe pop-up
6. Review pop-up content carefully","Pop-up displays exactly:
- Highway Status: Bad Actor
- Highway Response: 'This email address has been confirmed by Highway as being associated with fraudulent or malicious activity and cannot be used.'
- Email field shows the entered email",,highway
286851,,FD-43693,OK button acknowledgement is mandatory — page is blocked until clicked,#NAME?,"1. Login into the BTMS.
2. Navigate to any existing TL or Partial TL or create any new load.
3. Navigate to the Emailed Documents for Load page
4. Enter an email in Carrier Dispatch Email field that triggers pop-up.
5. When pop-up appears, try clicking elsewhere on the page without clicking OK
6. Try scrolling or interacting with other fields",#NAME?,,highway
336221,,FD-44445,Validate Carrier Dispatch Phone Number pre-populated from Load Form – Carrier Tab,"1. User is logged into BTMS
2. A load exists with a carrier assigned
3. Carrier Dispatch Phone Number is entered on Load Form → Carrier Tab (e.g. 312-555-0101)
4. Rate confirmation has been sent to the carrier","1. Login into the BTMS
2. Navigate to the load and open Load Form → Carrier Tab
3. Enter a valid phone number (e.g. 312-555-0101) in Carrier Dispatch Phone Number field
4. Send the rate confirmation to the carrier
5. Open the rate confirmation/load tender link as the carrier
6. Locate the Carrier Dispatch Phone Number field in the Sign &amp; Accept section",Carrier Dispatch Phone Number field on the load tender is pre-populated with '312-555-0101' exactly as entered on the Load Form → Carrier Tab,,carriers
336222,,FD-44445,Validate Carrier Dispatch Phone Number field is locked / read-only on load tender,"1. User is logged into BTMS
2. A load exists with a carrier assigned
3. Carrier Dispatch Phone Number is entered on Load Form → Carrier Tab (e.g. 312-555-0101)
4. Rate confirmation has been sent to the carrier
5. Rate confirmation open as carrier.
6.Carrier Dispatch Phone number is pre-populated.","1. Login into the BTMS
2. Follow TC-01 steps 2–5 to reach the rate confirmation page as the carrier
3. Click on the Carrier Dispatch Phone Number field
4. Attempt to type a new value into the field
5. Attempt to clear the existing value
6. Attempt to paste text into the field","Field is not editable — cursor does not activate; no typing, clearing, or pasting is possible. Field should appear visually disabled/greyed out (consistent with Carrier Dispatch Email field on the same screen)",,carriers
